Date,Lieu,,Hôte,Visiteur,,Score,Compétition,Article,,Vidéo,,Vidéo
01/04/2026,Chicago,https://static-content.rtbf.be/uploader/image/4/7/b/beta_d7b7722ea53681e94eee87e218a5bb5f.png,Mexique,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,1-1,Amical,,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-liechtenstein-18-novembre-2025-7-0-3405310"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-mexique-belgique-01-avril-2026-1-1-3458266,200,https://auvio.rtbf.be/media/diables-rouges-belgique-liechtenstein-18-novembre-2025-7-0-3405310
28/03/2026,Atlanta,https://ds1.static.rtbf.be/uploader/image/5/2/c/beta_27f1c9ab609649ffcae5466791a6c3e2.png,États-unis,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,2-5,Amical,,"<a href=""https://auvio.rtbf.be/media/diables-rouges-etats-unis-belgique-28-mars-2026-2-5-3455197"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-etats-unis-belgique-28-mars-2026-2-5-3455197,,https://auvio.rtbf.be/media/diables-rouges-etats-unis-belgique-28-mars-2026-2-5-3455197
18/11/2025,Liège,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Liechtenstein,https://ds1.static.rtbf.be/uploader/image/d/2/2/beta_1b8e7811c50f701ff76a1481c834b185.png,7-0,Qualifs CM 26,,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-liechtenstein-18-novembre-2025-7-0-3405310"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-belgique-liechtenstein-18-novembre-2025-7-0-3405310,200,https://auvio.rtbf.be/media/diables-rouges-belgique-liechtenstein-18-novembre-2025-7-0-3405310
15/11/2025,Astana,https://ds1.static.rtbf.be/uploader/image/5/c/a/beta_652ee6f0f46036c4fe027058708de483.png,Kazakhstan,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,1-1,Qualifs CM 26,,"<a href=""https://auvio.rtbf.be/media/diables-rouges-kazakhstan-belgique-15-novembre-2025-1-1-3404085"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-kazakhstan-belgique-15-novembre-2025-1-1-3404085,200,https://auvio.rtbf.be/media/diables-rouges-kazakhstan-belgique-15-novembre-2025-1-1-3404085
13/10/2025,Cardiff,https://ds1.static.rtbf.be/uploader/image/b/9/5/beta_fcc5c463793f1724ca2e8957ab5ceae9.png,pays de Galles,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,2-4,Qualifs CM 26,https://www.rtbf.be/article/pays-de-galles-belgique-match-crucial-pour-les-diables-rouges-direct-completement-foot-19h-11614688,"<a href=""https://auvio.rtbf.be/media/diables-rouges-pays-de-galles-belgique-le-resume-du-match-3391786"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-pays-de-galles-belgique-le-resume-du-match-3391786,200,https://auvio.rtbf.be/media/diables-rouges-pays-de-galles-belgique-le-resume-du-match-3391786
10/10/2025,Gand,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Macédoine du Nord,https://ds1.static.rtbf.be/uploader/image/f/e/8/beta_43e8faa71d8522b038490cdd5c87f4ee.png,0-0,Qualifs CM 26,https://www.rtbf.be/article/belgique-macedoine-du-nord-gagner-pour-s-installer-en-tete-la-mission-des-diables-rouges-direct-video-20h20-11612946,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-macedoine-du-nord-10-octobre-2025-0-0-3390861"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-belgique-macedoine-du-nord-10-octobre-2025-0-0-3390861,200,https://auvio.rtbf.be/media/diables-rouges-belgique-macedoine-du-nord-10-octobre-2025-0-0-3390861
07/09/2025,Anderlecht,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Kazakhstan,https://ds1.static.rtbf.be/uploader/image/5/c/a/beta_652ee6f0f46036c4fe027058708de483.png,6-0,Qualifs CM 26,https://www.rtbf.be/article/diables-rouges-la-belgique-recoit-le-kazakhstan-direct-video-a-20h20-11597250,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-kazakhstan-07-septembre-2025-6-0-3377851"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-belgique-kazakhstan-07-septembre-2025-6-0-3377851,200,https://auvio.rtbf.be/media/diables-rouges-belgique-kazakhstan-07-septembre-2025-6-0-3377851
04/09/2025,Vaduz,https://ds1.static.rtbf.be/uploader/image/d/2/2/beta_1b8e7811c50f701ff76a1481c834b185.png,Liechtenstein,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,0-6,Qualifs CM 26,https://www.rtbf.be/article/liechtenstein-belgique-les-diables-rouges-en-quete-de-but-eur-s-direct-video-20h20-11595693,"<a href=""https://auvio.rtbf.be/media/diables-rouges-liechtenstein-belgique-04-septembre-2025-0-6-3376992"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-liechtenstein-belgique-04-septembre-2025-0-6-3376992,200,https://auvio.rtbf.be/media/diables-rouges-liechtenstein-belgique-04-septembre-2025-0-6-3376992
09/06/2025,Bruxelles,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Pays de Galles,https://ds1.static.rtbf.be/uploader/image/b/9/5/beta_fcc5c463793f1724ca2e8957ab5ceae9.png,4-3,Qualifs CM 26,https://www.rtbf.be/article/belgique-pays-de-galles-il-n-y-a-deja-plus-le-droit-a-l-erreur-pour-les-diables-rouges-driect-video-20h45-11559000,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-pays-de-galles-09-juin-2025-4-3-3349133"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-belgique-pays-de-galles-09-juin-2025-4-3-3349133,200,https://auvio.rtbf.be/media/diables-rouges-belgique-pays-de-galles-09-juin-2025-4-3-3349133
06/06/2025,Skopje,https://ds1.static.rtbf.be/uploader/image/f/e/8/beta_43e8faa71d8522b038490cdd5c87f4ee.png,Macédoine du Nord,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,1-1,Qualifs CM 26,https://www.rtbf.be/article/macedoine-du-nord-belgique-les-diables-entament-leurs-qualifications-pour-le-mondial-2026-direct-video-20h45-11556595,"<a href=""https://auvio.rtbf.be/media/diables-rouges-macedoine-du-nord-belgique-06-juin-2025-1-1-3348492"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-macedoine-du-nord-belgique-06-juin-2025-1-1-3348492,200,https://auvio.rtbf.be/media/diables-rouges-macedoine-du-nord-belgique-06-juin-2025-1-1-3348492
