id,date,time,competition,tournament,home_team,away_team,home_goals,away_goals,score,opponent,venue,result,played,stadium,stadium_fr,city,belgium_coach,referee,url
1285,1904-05-01,16:45,International friendly,,Belgium,France,3,3,3-3,France,home,D,true,Vivier D'Oie,Stade du Vivier d'Oie,Brussel,,John Keene,https://www.rbfa.be/en/international-game/1285
1964,1905-04-29,23:00,International friendly,,Belgium,Netherlands,1,4,1-4,Netherlands,home,L,true,Kiel,Le Kiel,Antwerpen,,Frank Konig,https://www.rbfa.be/en/international-game/1964
1286,1905-05-06,23:00,International friendly,,Belgium,France,7,0,7-0,France,home,W,true,Vivier D'Oie,Stade du Vivier d'Oie,Brussel,,Rodolphe Seeldrayers,https://www.rbfa.be/en/international-game/1286
1830,1905-05-13,23:00,International friendly,,Netherlands,Belgium,4,0,4-0,Netherlands,away,L,true,Schuttersveld,Stade du Schuttersveld,Rotterdam,,H. Vermeulen,https://www.rbfa.be/en/international-game/1830
1287,1906-04-21,23:00,International friendly,,France,Belgium,0,5,0-5,France,away,W,true,Faisanderie,Faisanderie,Saint-Cloud,,John Wood,https://www.rbfa.be/en/international-game/1287
1288,1906-04-28,23:00,International friendly,,Belgium,Netherlands,5,0,5-0,Netherlands,home,W,true,Kiel,Le Kiel,Antwerpen,,P. Harrower,https://www.rbfa.be/en/international-game/1288
1289,1906-05-12,23:00,International friendly,,Netherlands,Belgium,2,3,2-3,Netherlands,away,W,true,Schuttersveld,Stade du Schuttersveld,Rotterdam,,Herbert Willing,https://www.rbfa.be/en/international-game/1289
1290,1907-04-13,23:00,International friendly,,Belgium,Netherlands,1,3,1-3,Netherlands,home,L,true,Kiel,Le Kiel,Antwerpen,,P. Harrower,https://www.rbfa.be/en/international-game/1290
2105,1907-04-20,23:00,International friendly,,Belgium,France,1,2,1-2,France,home,L,true,Vivier D'Oie,Stade du Vivier d'Oie,Brussel,,Herbert Willing,https://www.rbfa.be/en/international-game/2105
1707,1907-05-08,23:00,International friendly,,Netherlands,Belgium,1,2,1-2,Netherlands,away,W,true,Haarlem F.C.,Haarlem F.C.,Haarlem,,E. Holland,https://www.rbfa.be/en/international-game/1707
1291,1908-03-28,23:00,International friendly,,Belgium,Netherlands,1,4,1-4,Netherlands,home,L,true,Kiel,Le Kiel,Antwerpen,,P. Harrower,https://www.rbfa.be/en/international-game/1291
1292,1908-04-11,23:00,International friendly,,France,Belgium,1,2,1-2,France,away,W,true,Matin Stadion,Matin Stadion,Colombes,,James Stark,https://www.rbfa.be/en/international-game/1292
1293,1908-04-17,23:00,International friendly,,Belgium,England,2,8,2-8,England,home,L,true,Longchamps,Stade de Longchamps,Brussel,,G. Dyxhoorn,https://www.rbfa.be/en/international-game/1293
1294,1908-04-25,23:00,International friendly,,Netherlands,Belgium,3,1,3-1,Netherlands,away,L,true,Schuttersveld,Stade du Schuttersveld,Rotterdam,,J. Howcroft,https://www.rbfa.be/en/international-game/1294
1295,1908-10-25,23:00,International friendly,,Belgium,Sweden,2,1,2-1,Sweden,home,W,true,Vivier D'Oie,Stade du Vivier d'Oie,Brussel,,Charles Barette,https://www.rbfa.be/en/international-game/1295
1579,1909-03-20,23:00,International friendly,,Belgium,Netherlands,1,4,1-4,Netherlands,home,L,true,Kiel,Le Kiel,Antwerpen,,T. Kyle,https://www.rbfa.be/en/international-game/1579
1296,1909-04-16,23:00,International friendly,,England,Belgium,11,2,11-2,England,away,L,true,Tottenham,Tottenham,Londen,,Christiaan Groothoff,https://www.rbfa.be/en/international-game/1296
2141,1909-04-24,23:00,International friendly,,Netherlands,Belgium,4,1,4-1,Netherlands,away,L,true,Schuttersveld,Stade du Schuttersveld,Rotterdam,,J. Howcroft,https://www.rbfa.be/en/international-game/2141
1831,1909-05-08,23:00,International friendly,,Belgium,France,5,2,5-2,France,home,W,true,Vivier D'Oie,Stade du Vivier d'Oie,Brussel,,James Schumacher,https://www.rbfa.be/en/international-game/1831
1297,1910-03-12,23:00,International friendly,,Belgium,Netherlands,3,2,3-2,Netherlands,home,W,true,Kiel,Le Kiel,Antwerpen,William J. Maxwell,James Schumacher,https://www.rbfa.be/en/international-game/1297
1336,1910-03-25,23:00,International friendly,,Belgium,England,2,2,2-2,England,home,D,true,Longchamps,Stade de Longchamps,Brussel,William J. Maxwell,Christiaan Groothoff,https://www.rbfa.be/en/international-game/1336
1673,1910-04-02,23:00,International friendly,,France,Belgium,0,4,0-4,France,away,W,true,F.G.S.P.F. Stadion,F.G.S.P.F. Stadion,Gentilly,William J. Maxwell,James Stark,https://www.rbfa.be/en/international-game/1673
2019,1910-04-09,23:00,International friendly,,Netherlands,Belgium,7,0,7-0,Netherlands,away,L,true,Haarlem F.C.,Haarlem F.C.,Haarlem,William J. Maxwell,J. Howcroft,https://www.rbfa.be/en/international-game/2019
233,1910-05-15,23:00,International friendly,,Germany,Belgium,0,3,0-3,Germany,away,W,true,Duisburger S.V.,Duisburger S.V.,Duisburg,William J. Maxwell,Herbert Willing,https://www.rbfa.be/en/international-game/233
1965,1911-03-03,23:00,International friendly,,England,Belgium,4,0,4-0,England,away,L,true,Crystal Palace,Crystal Palace,Londen,William J. Maxwell,Christiaan Groothoff,https://www.rbfa.be/en/international-game/1965
1298,1911-03-18,23:00,International friendly,,Belgium,Netherlands,1,5,1-5,Netherlands,home,L,true,Kiel,Le Kiel,Antwerpen,William J. Maxwell,T. Campbell,https://www.rbfa.be/en/international-game/1298
1299,1911-04-01,23:00,International friendly,,Netherlands,Belgium,3,1,3-1,Netherlands,away,L,true,Dordrecht F.C.,Dordrecht F.C.,Dordrecht,William J. Maxwell,G. Miller,https://www.rbfa.be/en/international-game/1299
1300,1911-04-22,23:00,International friendly,,Belgium,Germany,2,1,2-1,Germany,home,W,true,Cointe,Stade de Cointe,Liège,William J. Maxwell,James Schumacher,https://www.rbfa.be/en/international-game/1300
1301,1911-04-29,23:00,International friendly,,Belgium,France,7,1,7-1,France,home,W,true,Vorststraat,Stade de la rue de Forest,Brussel,William J. Maxwell,James Stark,https://www.rbfa.be/en/international-game/1301
1302,1912-01-27,23:00,International friendly,,France,Belgium,1,1,1-1,France,away,D,true,Parijs Stadion,Parijs Stadion,Saint-Ouen,William J. Maxwell,James Stark,https://www.rbfa.be/en/international-game/1302
1337,1912-02-19,23:00,International friendly,,Belgium,Switzerland,9,2,9-2,Switzerland,home,W,true,Fc Antwerpen,Fc Antwerpen,Antwerpen,William J. Maxwell,P. Schroder,https://www.rbfa.be/en/international-game/1337
2046,1912-03-09,23:00,International friendly,,Belgium,Netherlands,1,2,1-2,Netherlands,home,L,true,Kiel,Le Kiel,Antwerpen,William J. Maxwell,C. Crisp,https://www.rbfa.be/en/international-game/2046
1303,1912-04-07,23:00,International friendly,,Belgium,England,1,2,1-2,England,home,L,true,Longchamps,Stade de Longchamps,Brussel,William J. Maxwell,P. Schroder,https://www.rbfa.be/en/international-game/1303
1304,1912-04-27,23:00,International friendly,,Netherlands,Belgium,4,3,4-3,Netherlands,away,L,true,Dordrecht F.C.,Dordrecht F.C.,Dordrecht,William J. Maxwell,John Hargreaves Pearson,https://www.rbfa.be/en/international-game/1304
1305,1912-11-08,23:00,International friendly,,England,Belgium,4,0,4-0,England,away,L,true,Durham City Fc,Durham City Fc,Swindon,William J. Maxwell,William Nunnerley,https://www.rbfa.be/en/international-game/1305
1306,1913-02-15,23:00,International friendly,,Belgium,France,3,0,3-0,France,home,W,true,Vivier D'Oie,Stade du Vivier d'Oie,Brussel,William J. Maxwell,James Schumacher,https://www.rbfa.be/en/international-game/1306
1307,1913-03-08,23:00,International friendly,,Belgium,Netherlands,3,3,3-3,Netherlands,home,D,true,Kiel,Le Kiel,Antwerpen,William J. Maxwell,Frederick Kirkham,https://www.rbfa.be/en/international-game/1307
1308,1913-04-19,23:00,International friendly,,Netherlands,Belgium,2,4,2-4,Netherlands,away,W,true,Zac Stadion,Zac Stadion,Zwolle,William J. Maxwell,John Baily,https://www.rbfa.be/en/international-game/1308
1309,1913-04-30,23:00,International friendly,,Italy,Belgium,1,0,1-0,Italy,away,L,true,Stadio Piazza D'Armi,Stadio Piazza D'Armi,Turijn,William J. Maxwell,HENRY Goodley,https://www.rbfa.be/en/international-game/1309
1310,1913-05-03,23:00,International friendly,,Switzerland,Belgium,1,2,1-2,Switzerland,away,W,true,Landhof Stadion,Landhof Stadion,Basel,,Walter Sanss,https://www.rbfa.be/en/international-game/1310
1832,1913-11-01,23:00,International friendly,,Belgium,Switzerland,2,0,2-0,Switzerland,home,W,true,Stade Du Panorama,Stade du Panorama,Verviers,,Willem Eymers,https://www.rbfa.be/en/international-game/1832
1966,1913-11-23,13:00,International friendly,,Belgium,Germany,6,2,6-2,Germany,home,W,true,Bosuil,Stade du Bosuil,Antwerpen,,Meerum Terwogt,https://www.rbfa.be/en/international-game/1966
1193,1914-01-25,13:30,International friendly,,France,Belgium,4,3,4-3,France,away,L,true,Route De Belgique,Route De Belgique,Rijsel,Charles Bunyan,Herbert Mortimer,https://www.rbfa.be/en/international-game/1193
1956,1914-02-23,23:00,International friendly,,Belgium,England,1,8,1-8,England,home,L,true,Longchamps Stadion,Stade de Longchamps,Brussel,Charles Bunyan,Fernand Jénicot,https://www.rbfa.be/en/international-game/1956
